taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean,hit_cover,taxonomy_level
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus anaerobius,0,0,0.0806993219090535,0,0,0,0,0,0,0.0677170330910568,0,0,0.0123680295833425,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bergensis,0,0,0,0,0,0,0,0,0,0.120265450769717,0,0,0.0100221208974764,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella colorans,0,0.0326968710336074,0,0.0581757177260059,0,0,0,0,0,0,0,0,0.00757271572996778,TRUE,Species
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium deltae,0,0,0,0,0,0,0,0,0,0.0895670624351045,0,0,0.00746392186959204,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus johnsonii,0,0,0,0,0,0,0.087983275391545,0,0,0,0,0,0.00733193961596209,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;Prevotella 7 melaninogenica,0,0.0721538546437834,0,0,0,0,0,0,0,0,0,0,0.00601282122031529,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus duerdenii,0,0,0,0,0,0,0,0,0,0.0395467473251772,0,0,0.0032955622770981,TRUE,Species
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;Bulleidia extructa,0,0.0326968710336074,0,0,0,0,0,0,0,0,0,0,0.00272473925280062,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia hominis,0,0,0,0,0,0,0,0,0,0,0,0.0267172238749223,0.00222643532291019,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Helcococcus;Helcococcus sueciensis,0,0,0,0,0,0,0,0,0,0,0,0.0231206745071443,0.00192672287559536,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Fenollaria massiliensis,0,0,0,0,0,0,0,0,0,0.0211277143244097,0,0,0.00176064286036748,TRUE,Species
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces neuii,0,0,0,0.0162350840165598,0,0,0,0,0,0,0,0,0.00135292366804665,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas uenonis,0,0.00372495999117047,0,0,0,0,0,0,0,0.012279355333845,0,0,0.00133369294375129,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;Facklamia ignava,0,0,0,0,0,0,0,0,0,0,0,0.0154137830047629,0.00128448191706357,TRUE,Species
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter junii,0,0,0,0,0,0,0.00700751750906111,0.00788577455556268,0,0,0,0,0.00124110767205198,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Murdochiella;Murdochiella asaccharolytica,0,0,0,0,0,0,0,0,0,0.0139045641280303,0,0,0.00115871367733586,TRUE,Species
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;Cutibacterium acnes,0,0,0.00541606187309084,0,0,0,0,0.00837863546528534,0,0,0,0,0.00114955811153135,FALSE,Species
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;Fastidiosipila sanguinis,0,0,0,0,0,0,0,0,0,0,0,0.0133586119374611,0.0011132176614551,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus grossensis,0,0,0,0,0,0,0,0,0,0.0126405128436639,0,0,0.00105337607030533,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus vaginalis,0,0,0,0,0,0,0,0,0,0,0,0.0102758553365086,0.000856321278042381,TRUE,Species
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sundsvallense,0,0,0,0,0,0,0,0,0,0,0,0.00924826980285772,0.000770689150238143,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gallinarum,0,0,0.00758248662232717,0,0,0,0,0,0,0,0,0,0.000631873885193931,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus mediterraneensis,0,0,0,0,0,0,0,0,0,0.00740372895128888,0,0,0.000616977412607407,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus amylovorus,0,0,0,0,0,0,0,0.00739291364584001,0,0,0,0,0.000616076137153334,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus provencensis,0,0,0,0,0,0,0,0,0,0,0,0.00667930596873057,0.000556608830727548,FALSE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus parasanguinis,0,0,0,0,0,0,0,0,0,0.00487562638255609,0,0,0.000406302198546341,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas asaccharolytica,0,0,0,0,0,0,0,0,0,0.00397273260800867,0,0,0.000331061050667389,TRUE,Species
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;Neisseria subflava,0,0,0,0,0,0,0.00389306528281173,0,0,0,0,0,0.000324422106900977,FALSE,Species
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;Actinotignum timonense,0,0,0,0,0,0,0,0,0,0.0036115750981897,0,0,0.000300964591515808,FALSE,Species
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;Varibaculum cambriense,0,0,0,0,0,0,0,0,0,0.00270868132364227,0,0,0.000225723443636856,FALSE,Species
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;Paracoccus yeei,0,0,0,0,0,0,0,0,0,0.0023475238138233,0,0,0.000195626984485275,FALSE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus oralis,0,0.00151757629269908,0,0,0,0,0,0,0,0,0,0,0.000126464691058257,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis,0,0.00137961481154462,0,0,0,0,0,0,0,0,0,0,0.000114967900962051,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium,0,0,0,0,0,0,0,0,0,1.43217010518712,0,0,0.119347508765594,FALSE,Genus
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group,0,0,0,0,0,0,0,0,0,0.240530901539434,0,0,0.0200442417949528,TRUE,Genus
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809,0.0144130476009862,0.052011478395232,0,0,0,0,0,0,0.0332780679704538,0.00523678389237506,0,0,0.00874494815492059,TRUE,Genus
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Bulleidia,0,0.0326968710336074,0,0,0,0,0,0,0,0,0,0,0.00272473925280062,TRUE,Genus
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces,0,0.00137961481154462,0,0.0162350840165598,0,0,0,0,0,0.0149880366574872,0,0,0.0027168946237993,TRUE,Genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Helcococcus,0,0,0,0,0,0,0,0,0,0,0,0.0231206745071443,0.00192672287559536,FALSE,Genus
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas,0.0144130476009862,0,0,0,0,0,0,0,0,0,0,0,0.00120108730008218,FALSE,Genus
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium,0,0,0.00541606187309084,0,0,0,0,0.00837863546528534,0,0,0,0,0.00114955811153135,FALSE,Genus
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 7,0,0,0,0,0,0,0,0,0,0,0,0.00565172043507972,0.00047097670292331,FALSE,Genus
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria,0,0,0,0,0,0,0.00389306528281173,0,0,0,0,0,0.000324422106900977,TRUE,Genus
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum,0,0,0,0,0,0,0,0,0,0.0036115750981897,0,0,0.000300964591515808,FALSE,Genus
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum,0,0,0,0,0,0,0,0,0,0.00270868132364227,0,0,0.000225723443636856,TRUE,Genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053,0,0.00248330666078031,0,0,0,0,0,0,0,0,0,0,0.000206942221731692,FALSE,Genus
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus,0,0,0,0,0,0,0,0,0,0.0023475238138233,0,0,0.000195626984485275,FALSE,Genus
