qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,ssend,evalue,bitscore,consensus,qcov,Taxon
OTU_2,FN692037.1669931.1671482,99.669,1509,2,2,1,1506,11,1519,0,2756,isoCon,99.8011928429423,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,AB008206.1.1556,99.532,1495,1,3,1,1489,7,1501,0,2717,isoCon,99.5986622073579,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,AF243170.1.1508,98.986,1479,6,6,18,1489,1,1477,0,2639,isoCon,99.526707234618,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,AF257096.1.1518,99.393,1482,3,3,14,1489,1,1482,0,2682,isoCon,99.5951417004049,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,AF257097.1.1518,99.528,1482,1,3,14,1489,1,1482,0,2693,isoCon,99.5951417004049,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,DQ333457.1.1517,99.386,1465,2,4,31,1489,19,1482,0,2649,isoCon,99.5904436860068,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,EF120374.1.1550,99.465,1495,2,3,1,1489,6,1500,0,2712,isoCon,99.5986622073579,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,EU600916.1.1471,99.181,1465,2,7,25,1483,6,1466,0,2630,isoCon,99.5904436860068,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_3,FM874250.1.1516,98.785,1482,12,3,14,1489,1,1482,0,2632,isoCon,99.5951417004049,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_3,FN692037.445456.447007,99.465,1495,2,3,1,1489,8,1502,0,2712,isoCon,99.5986622073579,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_3,FN692037.1669931.1671482,99.398,1495,3,3,1,1489,8,1502,0,2706,isoCon,99.5986622073579,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,AB008206.1.1556,99.666,1497,0,2,1,1492,22,1518,0,2732,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,AF243170.1.1508,99.129,1493,5,5,3,1489,1,1491,0,2678,isoCon,99.5981245813798,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,AF257096.1.1518,99.532,1497,2,2,1,1492,3,1499,0,2721,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,AF257097.1.1518,99.666,1497,0,2,1,1492,3,1499,0,2732,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,DQ333457.1.1517,99.528,1482,1,3,16,1492,19,1499,0,2693,isoCon,99.6626180836707,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,EF120374.1.1550,99.666,1497,0,2,1,1492,21,1517,0,2732,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,FM874250.1.1516,98.931,1497,11,2,1,1492,3,1499,0,2671,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_4,FN692037.445456.447007,99.666,1497,0,2,1,1492,23,1519,0,2732,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,FN692037.1669931.1671482,99.599,1497,1,2,1,1492,23,1519,0,2726,isoCon,99.6659986639947,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_4,KC561106.1.1500,99.193,1487,6,4,10,1492,8,1492,0,2675,isoCon,99.7310020174849,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_5,AEPX01000015.105.1663,99.671,1522,3,2,1,1520,5,1526,0,2782,isoCon,99.868593955322,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners
OTU_5,AY958828.1.1523,97.354,1512,37,3,1,1509,12,1523,0,2567,isoCon,99.8015873015873,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_5,AY958917.1.1521,97.487,1512,34,4,1,1509,11,1521,0,2579,isoCon,99.8015873015873,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_5,AY959201.1.1514,98.081,1511,27,2,1,1509,4,1514,0,2628,isoCon,99.867637326274,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_5,JF091405.1.1397,98.712,1397,11,7,17,1406,1,1397,0,2473,isoCon,99.4989262705798,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_5,Y16329.1.1539,99.67,1514,3,2,9,1520,1,1514,0,2767,isoCon,99.8678996036988,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners
OTU_6,ADGQ01000048.63.1487,98.57,1399,20,0,176,1574,2,1400,0,2473,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus stomatis
OTU_6,AMEL01000006.1.1413,99.855,1380,1,1,196,1574,1,1380,0,2536,isoCon,99.9275362318841,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus anaerobius
OTU_6,AY326462.1.1473,99.855,1379,2,0,196,1574,75,1453,0,2536,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus anaerobius
OTU_6,DQ160208.1.1465,98.349,1393,23,0,169,1561,73,1465,0,2447,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus;Peptostreptococcus stomatis
OTU_6,DQ318876.1.1620,98.115,1379,26,0,196,1574,225,1603,0,2403,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_6,EU644476.1.1590,98.476,1575,23,1,1,1574,13,1587,0,2774,isoCon,99.9365079365079,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_6,HQ814800.1.1556,97.878,1555,29,4,1,1552,3,1556,0,2686,isoCon,99.8070739549839,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_6,HQ814932.1.1525,97.539,1544,18,2,14,1557,2,1525,0,2623,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_6,JN713392.1.1509,98.187,1379,25,0,196,1574,94,1472,0,2409,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_6,KC894535.1.1499,99.42,1379,8,0,196,1574,104,1482,0,2503,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus
OTU_7,AB547673.1.1490,100,1424,0,0,1,1424,23,1446,0,2630,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,AB547674.1.1479,99.93,1424,1,0,1,1424,12,1435,0,2625,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,AJVZ01000001.43924.45432,99.93,1424,1,0,1,1424,23,1446,0,2625,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,AJVZ01000011.66937.68447,99.719,1426,2,2,1,1424,23,1448,0,2610,isoCon,99.859747545582,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,AJVZ01000012.335780.337288,100,1424,0,0,1,1424,23,1446,0,2630,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,GQ043829.1.1357,99.19,1358,7,4,1,1357,3,1357,0,2444,isoCon,99.9263622974963,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
OTU_7,KF089451.1.1359,98.526,1357,20,0,1,1357,3,1359,0,2396,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
OTU_7,KF999877.1.1488,98.74,1429,7,11,1,1424,23,1445,0,2529,isoCon,99.6501049685094,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_7,KP944198.1.1435,99.717,1412,3,1,13,1424,11,1421,0,2584,isoCon,100,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia
OTU_8,DQ986463.1.1394,99.64,1387,3,1,75,1459,1,1387,0,2538,isoCon,99.8558038932949,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus asaccharolyticus
OTU_8,FCEX01000012.769211.770715,97.061,1463,37,4,1,1459,5,1465,0,2459,isoCon,99.7265892002734,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_8,FJ557853.1.1369,98.463,1366,16,4,1,1362,5,1369,0,2401,isoCon,99.7071742313324,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_8,HM021370.1.1433,98.868,1413,11,4,31,1440,4,1414,0,2516,isoCon,99.7876857749469,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_8,HM021422.1.1424,99.013,1419,7,6,28,1444,5,1418,0,2536,isoCon,99.8590556730092,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_8,HM021447.1.1430,98.453,1422,12,7,31,1444,6,1425,0,2495,isoCon,99.4374120956399,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_8,Y07839.1.1476,98.478,1445,19,2,17,1459,1,1444,0,2543,isoCon,99.8615916955017,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus harei
OTU_9,FLQT01000003.46.1553,97.471,1463,26,10,1,1456,5,1463,0,2486,isoCon,99.5215311004785,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_9,FLQT01000003.189534.191041,98.355,1459,21,2,1,1456,5,1463,0,2558,isoCon,99.7943797121316,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_9,GY147996.1.1417,97.886,1419,23,6,34,1447,1,1417,0,2447,isoCon,99.6476391825229,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;unidentified
OTU_9,HK241575.1.1453,98.894,1447,8,7,17,1456,1,1446,0,2580,isoCon,99.5162404975812,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;unidentified
OTU_9,JF113984.1.1349,97.409,1351,30,5,17,1364,1,1349,0,2296,isoCon,99.7779422649889,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_9,JF239508.1.1349,99.481,1349,6,1,17,1364,1,1349,0,2451,isoCon,99.9258710155671,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_9,LT598577.1.1491,97.747,1465,18,11,1,1456,5,1463,0,2508,isoCon,99.3856655290102,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus urinimassiliensis
OTU_10,AY958937.1.1514,99.384,1461,6,2,1,1459,22,1481,0,2645,isoCon,99.8631074606434,Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila
OTU_10,AY995270.1.1330,99.391,1313,5,2,32,1342,13,1324,0,2377,isoCon,99.8476770753998,Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila
OTU_10,GQ037144.1.1360,98.751,1361,12,4,6,1362,1,1360,0,2414,isoCon,99.7060984570169,Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila
OTU_10,HM334799.1.1356,98.309,1360,16,6,6,1362,1,1356,0,2377,isoCon,99.7794117647059,Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila
OTU_10,HM340943.1.1356,98.234,1359,19,4,6,1362,1,1356,0,2372,isoCon,99.8528329654157,Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila
OTU_11,FLQT01000003.46.1553,97.415,1470,27,10,1,1464,5,1469,0,2494,isoCon,99.5918367346939,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_11,FLQT01000003.189534.191041,98.295,1466,22,2,1,1464,5,1469,0,2566,isoCon,99.8635743519782,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_11,GY147996.1.1417,97.887,1420,23,6,34,1449,1,1417,0,2449,isoCon,99.7183098591549,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;unidentified
OTU_11,HK241575.1.1453,98.9,1454,8,7,17,1464,1,1452,0,2593,isoCon,99.5873452544704,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;unidentified
OTU_11,JF113984.1.1349,97.263,1352,30,6,17,1364,1,1349,0,2285,isoCon,99.7041420118343,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_11,JF239508.1.1349,99.333,1350,6,2,17,1364,1,1349,0,2440,isoCon,99.8518518518518,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_11,LT598577.1.1491,97.758,1472,18,11,1,1464,5,1469,0,2521,isoCon,99.4565217391304,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus urinimassiliensis
OTU_12,AB626633.1.1528,99.601,1502,4,1,1,1500,18,1519,0,2739,isoCon,99.866844207723,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_12,AF473837.1.1440,99.583,1440,4,1,43,1480,1,1440,0,2625,isoCon,99.8611111111111,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_12,AFBB01000028.152.1706,99.601,1502,4,1,1,1500,18,1519,0,2739,isoCon,99.866844207723,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_13,CALI02000005.143.1657,99.794,1458,1,1,1,1456,11,1468,0,2675,isoCon,99.8628257887517,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Fenollaria massiliensis
OTU_13,CP027242.522408.523948,99.11,1461,5,5,1,1456,19,1476,0,2619,isoCon,99.6577686516085,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Peptostreptococcaceae bacterium
OTU_13,CP027242.678515.680055,99.383,1458,7,1,1,1456,19,1476,0,2641,isoCon,99.8628257887517,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Peptostreptococcaceae bacterium
OTU_13,CP027242.1043560.1045100,99.794,1458,1,1,1,1456,19,1476,0,2675,isoCon,99.8628257887517,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Peptostreptococcaceae bacterium
OTU_13,CP027242.1570710.1572250,99.52,1458,5,1,1,1456,19,1476,0,2652,isoCon,99.8628257887517,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Peptostreptococcaceae bacterium
OTU_13,CZPW01000007.475510.477025,98.493,1460,17,4,1,1456,11,1469,0,2569,isoCon,99.7260273972603,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Tissierellia bacterium
OTU_13,CZPW01000009.402220.403735,97.604,1461,28,4,1,1456,11,1469,0,2497,isoCon,99.6577686516085,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria;Tissierellia bacterium
OTU_13,DQ532342.1.1490,98.285,1458,19,5,3,1456,12,1467,0,2555,isoCon,99.7256515775034,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria
OTU_13,EF071399.1.1511,97.531,1458,30,5,3,1456,19,1474,0,2488,isoCon,99.7256515775034,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria
OTU_13,JF193799.1.1356,98.895,1358,9,5,11,1364,1,1356,0,2422,isoCon,99.7054491899853,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Fenollaria
OTU_14,AF542230.1.1406,99.787,1406,2,1,27,1431,1,1406,0,2579,isoCon,99.9288762446657,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus lacrimalis
OTU_14,ARKX01000002.39.1419,99.926,1356,1,0,105,1460,1,1356,0,2499,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus lacrimalis
OTU_14,FJ557937.1.1384,97.218,1366,32,6,1,1364,23,1384,0,2307,isoCon,99.8535871156662,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus
OTU_14,KC001234.1.1356,97.829,1336,28,1,1,1336,22,1356,0,2305,isoCon,100,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;unidentified marine
OTU_15,AEPX01000015.105.1663,99.523,1467,0,5,1,1460,38,1504,0,2663,isoCon,99.5228357191547,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners
OTU_15,AY958828.1.1523,97.275,1468,32,6,1,1460,45,1512,0,2483,isoCon,99.4550408719346,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_15,AY958917.1.1521,97.275,1468,31,7,1,1460,44,1510,0,2481,isoCon,99.4550408719346,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_15,AY959201.1.1514,98.023,1467,22,5,1,1460,37,1503,0,2542,isoCon,99.5228357191547,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_15,JF091405.1.1397,98.478,1380,9,10,1,1368,18,1397,0,2422,isoCon,99.1304347826087,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_15,KF071075.1.1393,98.112,1377,16,8,1,1368,18,1393,0,2390,isoCon,99.3464052287582,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_15,Y16329.1.1539,99.455,1467,1,5,1,1460,26,1492,0,2658,isoCon,99.5228357191547,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners
OTU_16,AB626633.1.1528,99.8,1502,1,1,1,1500,18,1519,0,2756,isoCon,99.866844207723,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_16,AF473837.1.1440,99.792,1440,1,1,43,1480,1,1440,0,2641,isoCon,99.8611111111111,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_16,AFBB01000028.152.1706,99.8,1502,1,1,1,1500,18,1519,0,2756,isoCon,99.866844207723,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_17,AB547639.1.1489,99.73,1483,3,1,10,1491,1,1483,0,2715,isoCon,99.9325691166554,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella;[Bacteroides] coagulans
OTU_17,AY169425.1.1500,98.661,1494,13,7,1,1491,5,1494,0,2641,isoCon,99.7991967871486,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella;Finegoldia magna
OTU_17,GQ043033.1.1362,98.679,1363,15,3,17,1377,1,1362,0,2414,isoCon,99.8532648569332,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,GQ130119.1.1468,98.976,1465,5,10,28,1491,1,1456,0,2614,isoCon,99.9317406143345,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,HF558387.1.1473,99.661,1473,3,2,17,1487,1,1473,0,2691,isoCon,99.8642226748133,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella;[Bacteroides] coagulans
OTU_17,HM021401.1.1445,99.508,1424,5,2,35,1457,13,1435,0,2590,isoCon,99.9297752808989,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,HM021504.1.1440,99.165,1437,5,7,27,1462,3,1433,0,2580,isoCon,99.9304105775922,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,HM266694.1.1361,98.899,1362,13,2,17,1377,1,1361,0,2431,isoCon,99.9265785609398,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,JF175448.1.1359,98.972,1362,10,4,17,1377,1,1359,0,2435,isoCon,99.9265785609398,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_17,JF176204.1.1361,98.753,1363,13,4,17,1377,1,1361,0,2422,isoCon,99.8532648569332,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Ezakiella
OTU_18,AEEE01000021.181.1708,99.799,1493,2,1,1,1492,5,1497,0,2739,isoCon,99.9330207635633,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii
OTU_18,AEPY01000012.3756.5283,99.732,1493,3,1,1,1492,5,1497,0,2734,isoCon,99.9330207635633,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii
OTU_18,AEPZ01000013.181.1708,99.866,1493,1,1,1,1492,5,1497,0,2745,isoCon,99.9330207635633,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii
OTU_18,AJ318408.1.1489,99.864,1466,1,1,28,1492,1,1466,0,2695,isoCon,99.9317871759891,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii
OTU_18,AJ318409.1.1500,99.932,1471,0,1,23,1492,6,1476,0,2710,isoCon,99.9320190346703,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus holmesii
